,titulo,categoria_prevista,categoria_original
97,"['boulos', 'tatto', 'embolam', 'propostas', 'discursos', 'briga', 'voto', 'esquerda', 'sp']",Eleicoes,Eleicoes
54,"['vice', 'covas', 'luta', 'contra', 'gênero', 'influência', 'modelo', 'creche', 'sob', 'investigação']",Eleicoes,Eleicoes
14,"['lava', 'jato', 'prevê', 'derrotas', 'anulação', 'delações', 'troca', 'presidência', 'stf']",Casos corrupcao,Lava Jato
112,"['governo', 'bolsonaro', 'repassou', 'programa', 'michelle', 'r', 'milhões', 'doados', 'testes', 'covid']",Politica Nacional,Politica Nacional
113,"['stf', 'forma', 'maioria', 'determinar', 'cota', 'financeira', 'candidatos', 'negros', 'eleição', 'deste', 'ano']",Eleicoes,Judiciario
108,"['programa', 'liderado', 'michelle', 'bolsonaro', 'repassa', 'doações', 'ongs', 'aliadas', 'damares']",Politica Nacional,Politica Nacional
64,"['laranjal', 'psl', 'lança', 'candidata', 'mina', 'defende', 'bolsonaro']",Eleicoes,Eleicoes
124,"['barrar', 'russomanno', 'aliados', 'covas', 'reforçam', 'voto', 'útil', 'contra', 'bolsonaro']",Eleicoes,Eleicoes
92,"['moradores', 'cidade', 'sp', 'admite', 'votar', 'medo', 'coronavírus', 'mostra', 'datafolha']",Eleicoes,Pandemia
118,"['campanha', 'jaboticabal', 'traz', 'tona', 'disputa', 'interrompeu', 'licença', 'médica']",Eleicoes,Eleicoes
39,"['corrida', 'apoio', 'moro', 'mobiliza', 'candidaturas', 'sp', 'avaliam', 'peso', 'aval', 'exministro']",Eleicoes,Eleicoes
114,"['bolsonaro', 'anuncia', 'indicação', 'kássio', 'nunes', 'vaga', 'celso', 'mello', 'stf']",Politica Nacional,Politica Nacional
93,"['cracolândia', 'sp', 'volta', 'centro', 'debate', 'eleitoral', 'promessas', 'ataques']",Eleicoes,Eleicoes
87,"['bolsonaro', 'diz', 'pode', 'entrar', 'eleição', 'influenciar', 'paulo', 'santos', 'manaus']",Eleicoes,Eleicoes
30,"['lewandowski', 'seguiu', 'colegas', 'stf', 'derrubar', 'decisão', 'tse', 'fixar', 'cota', 'negros', 'nesta', 'eleição']",Judiciario,Judiciario
46,"['assembleia', 'rj', 'começa', 'analisar', 'relatório', 'impeachment', 'witzel', 'entra', 'reta', 'decisiva']",Casos corrupcao,Casos corrupcao
131,"['universal', 'jogo', 'estratégico', 'nojento', 'diz', 'malafaia', 'sobre', 'apoio', 'kassio', 'nunes', 'stf']",Eleicoes,Politica Nacional
55,"['eleição', 'jaboticabal', 'primo', 'bolsonaro', 'base', 'prefeito', 'fichasuja', 'rachada']",Eleicoes,Eleicoes
44,"['doria', 'prevê', 'último', 'trecho', 'rodoanel', 'ante', 'eleições']",Eleicoes,Outros
